ID	age	sex	n_babies	site	year	pop_size	weight
29	0	f	0	2	1980	147	3.5190101629348343
42	0	m	2	1	1980	147	2.739329594805841
49	0	f	2	3	1980	147	3.338991120456584
53	0	f	2	3	1980	147	3.6468219923050116
87	0	f	0	3	1980	147	4.293907114120747
101	0	f	1	1	1980	147	4.179850751227537
144	0	f	0	2	1980	147	4.102258312859341
146	0	f	1	3	1980	147	4.076336749239248
201	0	f	2	2	1980	147	4.275679868271432
230	0	m	0	2	1980	147	2.518936700553166
255	0	m	1	2	1980	147	1.552921748694626
256	0	m	2	1	1980	147	1.8152987327447887
259	0	f	2	3	1980	147	2.8589135480874877
326	0	f	0	2	1980	147	3.385988354778816
332	0	f	2	3	1980	147	3.8651112897488535
397	0	f	2	1	1980	147	3.8430830948841135
462	0	f	1	3	1980	147	3.338748262069649
532	0	f	0	2	1980	147	2.6847480473944527
576	0	m	1	1	1980	147	1.9094758148631532
642	0	f	0	1	1980	147	2.932987641412294
726	0	f	2	2	1980	147	3.7996938096505906
739	0	m	1	2	1980	147	1.4868899239837363
810	0	m	1	2	1980	147	2.039567808418892
834	0	f	1	1	1980	147	NA
849	0	m	0	1	1980	147	NA
878	0	m	1	2	1980	147	2.503894505246787
882	0	f	1	3	1980	147	4.42936360073059
38	0	f	0	1	1981	131	4.468995626968673
42	1	m	0	1	1981	131	2.8187572463580497
49	1	f	2	3	1981	131	NA
75	0	m	0	3	1981	131	1.825693378286794
80	0	f	2	2	1981	131	3.8736392927393632
127	0	m	1	2	1981	131	3.9332684751444105
132	0	m	2	3	1981	131	2.998384172720509
144	1	f	0	2	1981	131	3.9141139696207454
146	1	f	0	3	1981	131	3.755505266596633
201	1	f	2	2	1981	131	4.835430860816324
214	0	f	2	3	1981	131	3.4078685818409484
230	1	m	2	2	1981	131	NA
233	0	m	2	1	1981	131	3.197494503325804
255	1	m	0	2	1981	131	2.323031906340155
256	1	m	2	1	1981	131	3.0007758735410817
259	1	f	1	3	1981	131	4.056600164229182
302	0	m	0	3	1981	131	2.6297221657431606
319	0	f	0	3	1981	131	3.7920730843465833
326	1	f	1	2	1981	131	4.2413011999908745
332	1	f	0	3	1981	131	4.657961092471945
397	1	f	1	1	1981	131	4.520734167245768
454	0	f	1	3	1981	131	3.625672726087103
462	1	f	2	3	1981	131	NA
